disp.ref.x,disp.ref.z,dx,dz,Location.X,Location.Z,Location.Y,DateTime,SpecimenID,HardnessScale,LoadApplied,Diagonal.1,Diagonal.2,Hardness
3.175,3.175,2.54,2.54,0,0,0,3/23/2015 13:06,,VHN,300,54,54,188.6
3.175,3.175,2.54,2.54,1,0,0,3/23/2015 13:09,,VHN,300,53.4,54.3,191.8
3.175,3.175,2.54,2.54,2,0,0,3/23/2015 13:12,,VHN,300,55.4,53.8,186.6
3.175,3.175,2.54,2.54,3,0,0,3/23/2015 13:15,,VHN,300,54.8,54.1,187.6
3.175,3.175,2.54,2.54,4,0,0,3/23/2015 13:18,,VHN,300,52.9,52.3,201
3.175,3.175,2.54,2.54,5,0,0,3/23/2015 13:21,,VHN,300,53.8,54.5,189.7
3.175,3.175,2.54,2.54,0,1,0,3/23/2015 13:24,,VHN,300,52.8,53.9,195.4
3.175,3.175,2.54,2.54,1,1,0,3/23/2015 13:27,,VHN,300,54,53.5,192.5
3.175,3.175,2.54,2.54,2,1,0,3/23/2015 13:30,,VHN,300,54.3,54.5,187.9
3.175,3.175,2.54,2.54,3,1,0,3/23/2015 13:33,,VHN,300,54.1,52.1,197.3
3.175,3.175,2.54,2.54,4,1,0,3/23/2015 13:36,,VHN,300,53.9,53.5,192.9
3.175,3.175,2.54,2.54,5,1,0,3/23/2015 13:39,,VHN,300,54.6,53.6,190
3.175,3.175,2.54,2.54,0,2,0,3/23/2015 13:42,,VHN,300,54.1,53.1,193.6
3.175,3.175,2.54,2.54,1,2,0,3/23/2015 13:45,,VHN,300,53.3,52.5,198.7
3.175,3.175,2.54,2.54,2,2,0,3/23/2015 13:48,,VHN,300,53.4,51.2,203.3
3.175,3.175,2.54,2.54,3,2,0,3/23/2015 13:51,,VHN,300,54.4,53.5,191.1
3.175,3.175,2.54,2.54,4,2,0,3/23/2015 13:54,,VHN,300,53.2,53,197.3
3.175,3.175,2.54,2.54,5,2,0,3/23/2015 13:57,,VHN,300,54,53.4,192.9
3.175,3.175,2.54,2.54,0,3,0,3/23/2015 14:00,,VHN,300,54.8,53.9,188.3
3.175,3.175,2.54,2.54,1,3,0,3/23/2015 14:03,,VHN,300,53.7,52.4,197.6
3.175,3.175,2.54,2.54,2,3,0,3/23/2015 14:06,,VHN,300,54.1,53,194
3.175,3.175,2.54,2.54,3,3,0,3/23/2015 14:09,,VHN,300,53,52.9,198.4
3.175,3.175,2.54,2.54,4,3,0,3/23/2015 14:12,,VHN,300,52.6,52.5,201.4
3.175,3.175,2.54,2.54,5,3,0,3/23/2015 14:15,,VHN,300,53.7,52.6,196.9
3.175,3.175,2.54,2.54,0,4,0,3/23/2015 14:18,,VHN,300,52.7,52.4,201.4
3.175,3.175,2.54,2.54,1,4,0,3/23/2015 14:21,,VHN,300,53.1,53.2,196.9
3.175,3.175,2.54,2.54,2,4,0,3/23/2015 14:24,,VHN,300,52.5,52,203.7
3.175,3.175,2.54,2.54,3,4,0,3/23/2015 14:27,,VHN,300,52.5,52.2,202.9
3.175,3.175,2.54,2.54,4,4,0,3/23/2015 14:30,,VHN,300,52.5,52.2,202.9
3.175,3.175,2.54,2.54,5,4,0,3/23/2015 14:33,,VHN,300,52.9,52.3,201
3.175,3.175,2.54,2.54,0,5,0,3/23/2015 14:36,,VHN,300,51.9,51.6,207.7
3.175,3.175,2.54,2.54,1,5,0,3/23/2015 14:39,,VHN,300,51.6,51.7,208.5
3.175,3.175,2.54,2.54,2,5,0,3/23/2015 14:42,,VHN,300,53,51.6,203.3
3.175,3.175,2.54,2.54,3,5,0,3/23/2015 14:45,,VHN,300,50.6,51.2,214.7
3.175,3.175,2.54,2.54,4,5,0,3/23/2015 14:48,,VHN,300,52.1,52.1,204.9
3.175,3.175,2.54,2.54,5,5,0,3/23/2015 14:51,,VHN,300,52.8,52.9,199.1
