disp.ref.x,disp.ref.z,dx,dz,Location.X,Location.Z,Location.Y,DateTime,SpecimenID,BeamCurrent,AccVoltage,WD,AcquireTime,DeadTime,Magnification,Num.Channels,Mg,Al,Cu,Zn
3.175,3.175,2.54,2.54,0,0,0,3/26/2015 17:30,,4,10,5.2,Auto,33,500,2048,6.46,153.42,1.35,12.21
3.175,3.175,2.54,2.54,0,0,0,3/26/2015 17:32,,4,10,5.2,Auto,33,500,2048,6.73,153.64,1.69,12.33
3.175,3.175,2.54,2.54,1,0,0,3/26/2015 17:34,,4,10,5.2,Auto,33,500,2048,6.5,154.42,1.88,12.28
3.175,3.175,2.54,2.54,1,0,0,3/26/2015 17:36,,4,10,5.2,Auto,33,500,2048,6.53,154.3,1.69,12.56
3.175,3.175,2.54,2.54,2,0,0,3/26/2015 17:38,,4,10,5.2,Auto,33,500,2048,6.62,153.85,1.59,12.39
3.175,3.175,2.54,2.54,2,0,0,3/26/2015 17:40,,4,10,5.2,Auto,33,500,2048,6.8,154.97,1.47,12.77
3.175,3.175,2.54,2.54,3,0,0,3/26/2015 17:42,,4,10,5.2,Auto,33,500,2048,6.93,157.08,1.99,12.89
3.175,3.175,2.54,2.54,3,0,0,3/26/2015 17:44,,4,10,5.2,Auto,33,500,2048,6.76,155.4,2.14,12.79
3.175,3.175,2.54,2.54,4,0,0,3/26/2015 17:46,,4,10,5.2,Auto,33,500,2048,6.72,156.43,2.05,12.37
3.175,3.175,2.54,2.54,4,0,0,3/26/2015 17:48,,4,10,5.2,Auto,33,500,2048,6.55,154.95,1.9,12.45
3.175,3.175,2.54,2.54,5,0,0,3/26/2015 17:50,,4,10,5.2,Auto,33,500,2048,6.66,155.66,1.65,11.97
3.175,3.175,2.54,2.54,5,0,0,3/26/2015 17:52,,4,10,5.2,Auto,33,500,2048,7.15,157.56,1.71,12.71
3.175,3.175,2.54,2.54,0,1,0,3/26/2015 17:54,,4,10,5.2,Auto,33,500,2048,6.33,154.29,1.94,12.95
3.175,3.175,2.54,2.54,0,1,0,3/26/2015 17:56,,4,10,5.2,Auto,33,500,2048,6.54,154.84,1.93,13.11
3.175,3.175,2.54,2.54,1,1,0,3/26/2015 17:58,,4,10,5.2,Auto,33,500,2048,6.76,155.2,1.57,13.19
3.175,3.175,2.54,2.54,1,1,0,3/26/2015 18:00,,4,10,5.2,Auto,33,500,2048,6.17,154.29,1.86,12.86
3.175,3.175,2.54,2.54,2,1,0,3/26/2015 18:02,,4,10,5.2,Auto,33,500,2048,6.68,155.03,1.96,13.21
3.175,3.175,2.54,2.54,2,1,0,3/26/2015 18:04,,4,10,5.2,Auto,33,500,2048,6.71,155.19,1.72,13.22
3.175,3.175,2.54,2.54,3,1,0,3/26/2015 18:06,,4,10,5.2,Auto,33,500,2048,6.68,154.69,1.29,13.31
3.175,3.175,2.54,2.54,3,1,0,3/26/2015 18:08,,4,10,5.2,Auto,33,500,2048,6.62,156.38,1.67,13
3.175,3.175,2.54,2.54,4,1,0,3/26/2015 18:10,,4,10,5.2,Auto,33,500,2048,6.49,154.87,1.46,12.99
3.175,3.175,2.54,2.54,4,1,0,3/26/2015 18:12,,4,10,5.2,Auto,33,500,2048,6.55,154.82,1.32,13.1
3.175,3.175,2.54,2.54,5,1,0,3/26/2015 18:14,,4,10,5.2,Auto,33,500,2048,6.69,155.42,1.67,13.5
3.175,3.175,2.54,2.54,5,1,0,3/26/2015 18:16,,4,10,5.2,Auto,33,500,2048,6.89,157.13,1.63,13.38
3.175,3.175,2.54,2.54,0,2,0,3/26/2015 18:18,,4,10,5.2,Auto,33,500,2048,6.25,155.14,1.57,13.58
3.175,3.175,2.54,2.54,0,2,0,3/26/2015 18:20,,4,10,5.2,Auto,33,500,2048,6.35,153.26,1.5,13.84
3.175,3.175,2.54,2.54,1,2,0,3/26/2015 18:22,,4,10,5.2,Auto,33,500,2048,6.41,156.39,1.8,13.08
3.175,3.175,2.54,2.54,1,2,0,3/26/2015 18:24,,4,10,5.2,Auto,33,500,2048,6.56,155.56,1.38,14.16
3.175,3.175,2.54,2.54,2,2,0,3/26/2015 18:26,,4,10,5.2,Auto,33,500,2048,6.69,156.33,1.87,13.69
3.175,3.175,2.54,2.54,2,2,0,3/26/2015 18:28,,4,10,5.2,Auto,33,500,2048,6.28,156.05,1.88,13.85
3.175,3.175,2.54,2.54,3,2,0,3/26/2015 18:30,,4,10,5.2,Auto,33,500,2048,6.69,156.67,1.54,13.67
3.175,3.175,2.54,2.54,3,2,0,3/26/2015 18:32,,4,10,5.2,Auto,33,500,2048,6.23,156.37,2.02,13.82
3.175,3.175,2.54,2.54,4,2,0,3/26/2015 18:34,,4,10,5.2,Auto,33,500,2048,6.27,155.94,1.62,13.67
3.175,3.175,2.54,2.54,4,2,0,3/26/2015 18:36,,4,10,5.2,Auto,33,500,2048,6.4,156.08,2,13.99
3.175,3.175,2.54,2.54,5,2,0,3/26/2015 18:38,,4,10,5.2,Auto,33,500,2048,6.53,156.62,2.05,13.52
3.175,3.175,2.54,2.54,5,2,0,3/26/2015 18:40,,4,10,5.2,Auto,33,500,2048,6.52,156.57,1.04,13.82
3.175,3.175,2.54,2.54,0,3,0,3/26/2015 18:42,,4,10,5.2,Auto,33,500,2048,6.03,152.09,1.7,13.92
3.175,3.175,2.54,2.54,0,3,0,3/26/2015 18:44,,4,10,5.2,Auto,33,500,2048,6.2,152.24,1.6,14.18
3.175,3.175,2.54,2.54,1,3,0,3/26/2015 18:46,,4,10,5.2,Auto,33,500,2048,6.17,152.78,0.95,13.93
3.175,3.175,2.54,2.54,1,3,0,3/26/2015 18:48,,4,10,5.2,Auto,33,500,2048,6.19,153.43,1.74,13.6
3.175,3.175,2.54,2.54,2,3,0,3/26/2015 18:50,,4,10,5.2,Auto,33,500,2048,6.09,153.48,1.86,13.92
3.175,3.175,2.54,2.54,2,3,0,3/26/2015 18:52,,4,10,5.2,Auto,33,500,2048,6.23,153.2,1.38,14.14
3.175,3.175,2.54,2.54,3,3,0,3/26/2015 18:54,,4,10,5.2,Auto,33,500,2048,6.17,153.79,1.64,13.84
3.175,3.175,2.54,2.54,3,3,0,3/26/2015 18:56,,4,10,5.2,Auto,33,500,2048,6.16,154.03,1.49,14.12
3.175,3.175,2.54,2.54,4,3,0,3/26/2015 18:58,,4,10,5.2,Auto,33,500,2048,6.45,155.08,1.28,14.26
3.175,3.175,2.54,2.54,4,3,0,3/26/2015 19:00,,4,10,5.2,Auto,33,500,2048,6.48,155.67,1.68,14.35
3.175,3.175,2.54,2.54,5,3,0,3/26/2015 19:02,,4,10,5.2,Auto,33,500,2048,6.48,156.23,1.89,14.31
3.175,3.175,2.54,2.54,5,3,0,3/26/2015 19:04,,4,10,5.2,Auto,33,500,2048,6.22,156.04,1.82,14.29
3.175,3.175,2.54,2.54,0,4,0,3/26/2015 19:06,,4,10,5.2,Auto,33,500,2048,5.6,151.41,1.82,15.84
3.175,3.175,2.54,2.54,0,4,0,3/26/2015 19:08,,4,10,5.2,Auto,33,500,2048,5.58,151.04,1.53,15.23
3.175,3.175,2.54,2.54,1,4,0,3/26/2015 19:10,,4,10,5.2,Auto,33,500,2048,5.44,149.6,2.04,15.47
3.175,3.175,2.54,2.54,1,4,0,3/26/2015 19:12,,4,10,5.2,Auto,33,500,2048,5.67,151.43,1.52,15.49
3.175,3.175,2.54,2.54,2,4,0,3/26/2015 19:14,,4,10,5.2,Auto,33,500,2048,5.66,151.65,1.5,15.23
3.175,3.175,2.54,2.54,2,4,0,3/26/2015 19:16,,4,10,5.2,Auto,33,500,2048,5.73,152.81,1.74,15.18
3.175,3.175,2.54,2.54,3,4,0,3/26/2015 19:18,,4,10,5.2,Auto,33,500,2048,5.54,151.37,1.35,15.55
3.175,3.175,2.54,2.54,3,4,0,3/26/2015 19:20,,4,10,5.2,Auto,33,500,2048,5.36,151.41,1.13,15.18
3.175,3.175,2.54,2.54,4,4,0,3/26/2015 19:22,,4,10,5.2,Auto,33,500,2048,5.88,153.03,1.51,16.02
3.175,3.175,2.54,2.54,4,4,0,3/26/2015 19:24,,4,10,5.2,Auto,33,500,2048,5.58,152.09,1.6,15.22
3.175,3.175,2.54,2.54,5,4,0,3/26/2015 19:26,,4,10,5.2,Auto,33,500,2048,5.65,153.47,1.5,15.31
3.175,3.175,2.54,2.54,5,4,0,3/26/2015 19:28,,4,10,5.2,Auto,33,500,2048,5.82,153.73,1.73,15.64
3.175,3.175,2.54,2.54,0,5,0,3/26/2015 19:30,,4,10,5.2,Auto,33,500,2048,5.32,150.99,1.69,15.62
3.175,3.175,2.54,2.54,0,5,0,3/26/2015 19:32,,4,10,5.2,Auto,33,500,2048,5.57,150.74,1.64,15.74
3.175,3.175,2.54,2.54,1,5,0,3/26/2015 19:34,,4,10,5.2,Auto,33,500,2048,5.21,150.98,2,16.3
3.175,3.175,2.54,2.54,1,5,0,3/26/2015 19:36,,4,10,5.2,Auto,33,500,2048,5.64,150.55,1.98,16.95
3.175,3.175,2.54,2.54,2,5,0,3/26/2015 19:38,,4,10,5.2,Auto,33,500,2048,5.52,150.48,1.34,16.14
3.175,3.175,2.54,2.54,2,5,0,3/26/2015 19:40,,4,10,5.2,Auto,33,500,2048,5.36,151.62,1.67,16.47
3.175,3.175,2.54,2.54,3,5,0,3/26/2015 19:42,,4,10,5.2,Auto,33,500,2048,5.32,149,1.58,16.03
3.175,3.175,2.54,2.54,3,5,0,3/26/2015 19:44,,4,10,5.2,Auto,33,500,2048,5.4,151.19,1.58,16.37
3.175,3.175,2.54,2.54,4,5,0,3/26/2015 19:46,,4,10,5.2,Auto,33,500,2048,5.47,151.8,1.12,16.18
3.175,3.175,2.54,2.54,4,5,0,3/26/2015 19:48,,4,10,5.2,Auto,33,500,2048,5.6,151.86,1.75,16.23
3.175,3.175,2.54,2.54,5,5,0,3/26/2015 19:50,,4,10,5.2,Auto,33,500,2048,5.43,152.13,1.45,16.02
3.175,3.175,2.54,2.54,5,5,0,3/26/2015 19:52,,4,10,5.2,Auto,33,500,2048,5.44,152.17,1.81,16.06
